Layer,Number of Stock,Portfolio,DailyRisk,ExpectedReturn,
Layer 1,0,,0.000000000000000000000000000000,0.000000000000000000000000000000
Layer 1,7,9432.T 2914.T 3382.T 7733.T JNJ MCD BA,24789.352379186148027656599879264832,699.765106719397522283543366938829
Layer 1,8,9432.T 4502.T 2914.T 3382.T 7733.T JNJ MCD BA,25559.196306738704151939600706100464,939.355549407114267523866146802902
Layer 1,8,9432.T 9433.T 2914.T 3382.T 7733.T JNJ MCD BA,26468.226808290455664973706007003784,1121.231438735177562193712219595909
Layer 1,10,9432.T 9433.T 4502.T 2914.T 3382.T AAPL JNJ MCD NKE BA,26557.605742010404355823993682861328,2127.170940711468119843630120158195
Layer 1,9,9432.T 9433.T 2914.T 3382.T 7733.T AAPL JNJ MRK BA,26573.878665650354378158226609230042,4027.650790513865558750694617629051
Layer 1,8,9432.T 2914.T 3382.T 7733.T AAPL JNJ MRK BA,26975.397077836914832005277276039124,4028.453641633751431072596460580826
Layer 1,9,9432.T 9433.T 4502.T 2914.T 3382.T AAPL JNJ MCD BA,26979.924648789638013113290071487427,4444.997457180513265484478324651718
Layer 1,10,9432.T 9433.T 4502.T 2914.T 3382.T 7733.T AAPL JNJ MCD BA,27437.225495042825059499591588973999,4706.557285902510557207278907299042
Layer 1,9,9432.T 4502.T 2914.T 3382.T 7733.T AAPL JNJ MCD BA,27591.545905459621280897408723831177,4774.496271409761902759782969951630
Layer 1,9,9432.T 9433.T 4502.T 2914.T 3382.T AAPL MRK KO BA,27880.028434800784452818334102630615,6770.278166007928120961878448724747
Layer 1,8,9432.T 4502.T 2914.T 3382.T AAPL MRK KO BA,28910.045202583562058862298727035522,7114.643296442728569672908633947372
Layer 1,8,9432.T 9433.T 4502.T 2914.T 3382.T AAPL MRK BA,29077.376335571367235388606786727905,8928.011391304384233080781996250153
Layer 1,7,9432.T 9433.T 4502.T 2914.T CSCO MCD BA,29710.933469772222451865673065185547,10135.192906455902630113996565341949
Layer 1,7,9432.T 4502.T 2914.T 3382.T 7733.T AAPL BA,30471.851243978286220226436853408813,11358.606210803714930079877376556396
Layer 1,5,9432.T 4502.T 2914.T MRK BA,30942.031257809063390595838427543640,12612.359193675885762786492705345154
Layer 1,7,9432.T 9433.T 4502.T 3382.T AAPL MCD BA,33291.375478392386867199093103408813,13209.780927536257877363823354244232
Layer 1,6,9432.T 9433.T 3382.T AAPL MRK BA,33782.909899605772807262837886810303,13620.741114624557667411863803863525
Layer 1,6,9432.T 9433.T 4502.T CSCO MCD BA,34093.921029340985114686191082000732,13974.154584980262370663695037364960
Layer 1,7,9432.T 9433.T 4502.T 2914.T AAPL MRK BA,34488.663011013566574547439813613892,14651.880758893317761248908936977386
Layer 1,6,9432.T 4502.T 3382.T 7733.T AAPL BA,34547.552715859303134493529796600342,15405.319283267486753175035119056702
Layer 1,5,9432.T 9433.T 4502.T MRK BA,35262.227438462243298999965190887451,15997.957876152828248450532555580139
Layer 1,8,9432.T 9433.T 4502.T 2914.T 6954.T AAPL CSCO BA,35276.185488337578135542571544647217,16131.248324110698376898653805255890
Layer 1,4,9432.T 4502.T MRK BA,35295.025798124501307029277086257935,18987.687172595567972166463732719421
Layer 1,6,9432.T 9433.T 4502.T AAPL MRK BA,37799.542058114129758905619382858276,19243.969177865685196593403816223145
Layer 1,7,9432.T 4502.T 6954.T AAPL V MRK BA,39625.372280285409942734986543655396,19472.802785243773541878908872604370
Layer 1,7,9432.T 9433.T 4502.T 6954.T AAPL CSCO BA,39763.228339730136212892830371856689,20273.759301712805608985945582389832
Layer 1,4,9432.T 4502.T MCD BA,40040.129206957593851257115602493286,21032.728047430839069420471787452698
Layer 1,6,9432.T 4502.T 6954.T AAPL CSCO BA,41335.490376436915539670735597610474,22985.247151515195582760497927665710
Layer 1,6,9432.T 9433.T 6954.T AAPL CSCO BA,44135.031394733880006242543458938599,23227.748337285942398011684417724609
Layer 1,7,9432.T 4502.T 4519.T 6954.T AAPL CSCO BA,44929.128030065548955462872982025146,23554.284202898576040752232074737549
Layer 1,7,9432.T 9433.T 4502.T 4519.T 6954.T AAPL BA,45275.521570962715486530214548110962,24748.720571805031795520335435867310
Layer 1,6,9432.T 4519.T 6954.T AAPL BA MMM,46518.280287143403256777673959732056,24974.142121212189522339031100273132
Layer 1,7,9432.T 4502.T 4519.T 6954.T 7733.T AAPL BA,46968.607841272809309884905815124512,25171.658121212145488243550062179565
Layer 1,6,9432.T 4502.T 4519.T 6954.T AAPL BA,47146.621821003456716425716876983643,28206.056700922283198451623320579529
Layer 1,5,9432.T 4502.T 6954.T AAPL BA,47992.219634999586560297757387161255,28439.480432147585815982893109321594
Layer 1,6,9432.T 9433.T 4519.T 6954.T AAPL BA,50859.134748678974574431777000427246,28448.557886693033651681616902351379
Layer 1,5,9432.T 4502.T 4519.T AAPL BA,51049.799678662282531149685382843018,28710.765280632433132268488407135010
Layer 1,6,9432.T 4519.T 6954.T 7733.T AAPL BA,53568.649313207686645910143852233887,28942.806108036907971836626529693604
Layer 1,7,7203.T 9432.T 4502.T 7733.T AAPL MSFT BA,55312.778672226893831975758075714111,29067.781193675906251883134245872498
Layer 1,5,9432.T 4519.T 6954.T AAPL BA,55817.808936380133673083037137985229,33315.859615283290622755885124206543
Layer 1,6,7203.T 9432.T 7733.T AAPL MSFT BA,61315.328492417691450100392103195190,33480.510305665353371296077966690063
Layer 1,7,7203.T 9432.T 9983.T 4502.T AAPL MSFT BA,61423.386291929477010853588581085205,33529.734289855092356447130441665649
