AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
31.253,46.280,113.490,99.170,65.670,77.650,63.920,80.400,107.950,108.310,60.260,40.750,28.970,96.390,50.110,109.720,49.640,158.950,100.990,170.050,73.790,196.250,86.990,32.640,77.850,141.040,157.640,101.770,152.640,83.100
31.315,46.700,114.760,99.660,66.580,78.030,64.500,80.200,107.570,110.040,60.300,40.660,28.805,96.780,50.725,109.260,49.730,157.900,101.010,170.990,74.520,197.390,86.430,32.220,78.430,141.490,158.610,102.580,151.920,84.230
31.905,47.750,115.680,101.470,69.470,78.530,65.490,80.960,108.650,112.470,60.740,40.700,29.230,98.230,51.220,110.110,50.140,162.340,102.120,172.680,72.400,200.500,87.310,32.245,78.980,145.460,160.600,103.730,155.550,85.020
31.580,47.370,114.770,101.030,69.020,78.100,65.450,80.270,107.360,111.900,60.000,40.980,29.210,97.510,51.395,108.600,49.800,161.050,102.690,171.120,71.200,201.730,88.770,32.800,79.700,145.890,159.900,102.220,155.700,84.250
31.466,47.350,114.640,100.470,68.690,78.960,65.360,79.950,107.560,112.520,59.440,40.940,29.230,97.950,51.185,109.240,49.620,158.240,102.310,170.550,71.770,200.530,88.160,32.690,79.080,145.430,160.070,101.670,152.850,84.180
31.503,47.625,115.860,100.550,68.650,78.160,65.520,79.700,107.700,111.190,59.180,40.690,29.350,97.350,51.080,109.190,49.730,158.390,104.440,172.280,71.790,201.430,88.440,32.250,79.860,145.620,161.310,101.970,152.190,84.070
32.237,48.720,118.530,101.830,70.000,78.720,66.050,80.570,108.450,111.940,59.780,41.050,29.050,97.710,51.720,109.930,49.970,161.980,106.440,174.050,72.880,202.620,88.740,32.640,80.750,147.960,163.150,102.750,153.720,85.350
32.193,48.295,119.330,102.300,69.570,79.240,65.880,81.050,108.030,113.350,60.230,41.500,29.550,98.040,52.490,110.300,49.790,162.360,106.850,173.260,72.400,202.970,88.430,32.970,80.220,146.880,163.300,102.680,154.530,86.470
32.547,48.010,119.800,103.420,70.000,79.920,66.420,80.740,106.650,114.330,60.010,41.520,29.760,98.020,52.375,110.330,49.600,163.440,106.770,173.060,72.800,204.660,88.290,32.990,80.170,146.710,162.870,103.170,153.000,86.360
32.517,47.580,120.550,103.960,70.160,76.430,67.010,80.830,105.020,112.340,60.520,41.320,29.735,100.680,52.320,110.560,49.550,163.560,105.810,173.480,71.480,205.400,87.240,33.410,81.360,147.050,163.120,103.660,152.190,85.840
32.515,47.580,121.240,103.600,69.780,75.900,66.480,80.480,105.250,112.100,60.460,41.310,29.620,100.110,52.305,110.200,49.690,163.980,106.230,173.760,70.160,205.080,87.930,33.150,80.960,146.420,161.900,103.700,153.120,84.890
