AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
60.227,152.110,237.320,128.810,153.110,114.140,84.360,109.330,68.560,178.630,73.800,44.250,38.330,158.170,79.230,94.920,52.920,197.810,129.710,105.140,134.060,145.290,111.350,51.880,77.840,130.700,133.140,95.200,32.520,43.030
61.233,155.260,240.440,133.150,157.390,118.650,87.510,114.400,76.120,181.310,76.870,42.120,39.800,161.500,80.140,96.970,55.250,208.880,132.810,110.000,134.320,149.930,116.740,54.350,76.660,123.270,137.910,97.190,32.510,40.320
60.352,153.830,229.490,134.170,151.850,119.480,84.050,115.080,75.110,178.700,76.250,43.950,39.060,160.330,78.860,93.880,54.700,205.410,127.450,106.340,134.310,146.930,114.670,54.130,73.600,124.520,133.790,93.890,31.870,40.720
65.618,165.270,248.340,139.760,169.440,126.070,89.460,117.810,80.390,191.330,80.310,43.830,41.430,177.040,84.630,99.580,56.700,211.580,134.000,114.820,147.550,158.230,120.430,58.430,83.870,148.770,140.700,98.980,35.390,42.630
64.858,163.490,248.040,137.480,168.590,121.990,90.640,112.770,80.920,192.290,78.560,46.670,40.640,175.590,84.160,101.240,56.980,208.780,135.240,114.940,145.070,166.020,121.920,58.400,87.580,141.580,144.600,100.780,37.260,42.810
66.517,165.130,267.830,143.260,174.940,121.840,94.300,115.100,85.980,194.820,81.620,46.510,41.740,177.490,85.300,101.070,57.800,219.190,139.250,119.290,151.120,176.960,127.400,58.980,92.080,146.870,148.990,104.940,38.860,43.090
66.998,165.140,264.130,141.230,173.690,121.800,102.760,114.660,84.310,201.530,82.490,47.820,41.200,183.700,86.790,104.500,57.440,218.210,143.430,121.500,154.550,184.260,125.030,57.140,94.820,151.840,147.780,109.740,40.780,43.980
66.998,165.140,264.130,141.230,173.690,121.800,102.760,114.660,84.310,201.530,82.490,47.820,41.200,183.700,86.790,104.500,57.440,218.210,143.430,121.500,154.550,184.260,125.030,57.140,94.820,151.840,147.780,109.740,40.780,43.980
68.312,165.510,263.510,139.770,168.990,125.300,98.190,115.950,84.910,198.790,80.540,49.000,41.220,180.120,84.460,103.500,56.670,218.270,137.940,121.150,152.500,179.180,114.140,58.700,90.330,147.330,146.400,106.420,38.320,44.110
71.763,173.700,270.500,146.030,174.620,129.000,95.500,120.960,84.610,207.170,82.840,46.930,42.780,183.990,87.470,106.030,58.140,226.800,140.590,123.910,157.710,178.230,116.480,60.660,88.390,141.000,150.140,108.020,38.430,46.380
71.108,171.880,281.680,147.660,165.960,128.760,90.790,121.220,82.490,198.480,82.070,48.920,41.520,177.840,85.040,103.370,56.930,221.800,134.840,118.690,155.630,178.520,111.530,58.870,83.790,145.980,145.160,102.170,35.570,43.440
71.672,177.040,298.430,149.670,162.420,132.330,87.330,121.500,79.990,199.850,83.000,47.610,41.500,179.500,86.300,102.020,57.660,230.900,132.330,115.730,157.060,177.040,113.220,60.790,81.350,134.240,144.900,99.810,36.220,43.230
70.700,178.600,290.560,152.020,169.540,132.120,95.180,124.690,87.170,209.420,83.460,47.100,42.480,186.100,89.910,106.630,58.460,234.970,138.320,120.120,162.620,183.490,116.300,60.360,87.390,154.000,146.460,105.070,38.360,44.500
69.233,175.060,282.140,151.670,164.220,129.850,91.710,120.600,83.570,206.050,83.100,48.060,42.540,181.650,87.900,102.260,58.130,236.600,135.700,120.410,162.760,180.400,114.600,59.180,84.010,143.610,143.670,101.780,39.720,42.850
67.093,167.820,274.190,149.680,160.530,129.210,89.050,119.680,81.640,200.610,78.560,46.530,40.550,177.580,85.200,100.540,56.820,230.750,132.000,116.760,150.560,173.810,109.850,56.360,81.520,136.330,141.630,101.780,39.070,42.550
69.025,173.520,277.020,152.990,166.590,131.590,89.340,119.400,84.440,204.170,79.980,45.380,41.760,186.480,88.770,100.990,57.990,229.290,133.030,119.310,154.140,175.980,110.640,60.100,82.540,134.970,143.610,101.790,39.870,43.310
68.757,171.420,285.330,155.510,166.380,128.530,89.390,119.400,86.800,202.320,80.880,45.680,41.620,182.040,87.350,101.000,57.590,232.490,134.680,121.350,151.720,175.050,112.910,59.040,82.460,137.740,144.330,100.450,41.200,43.500
70.743,174.550,291.290,154.860,167.320,129.440,90.710,118.780,87.010,212.180,81.430,45.070,42.520,184.020,88.370,101.190,57.930,236.280,135.520,124.720,153.980,177.000,114.040,59.260,83.170,128.980,147.000,100.820,41.900,43.740
70.793,174.050,293.980,154.290,171.760,128.300,94.620,117.450,89.710,217.760,83.980,45.430,43.060,185.890,89.370,106.060,57.810,242.430,139.880,125.920,157.630,183.540,115.200,59.470,85.060,128.680,153.650,102.890,43.820,44.430
69.645,169.810,288.360,151.390,171.250,128.000,95.290,116.890,89.910,217.630,81.180,46.780,42.490,185.930,88.800,106.210,57.830,237.670,142.760,126.270,154.460,187.010,115.460,58.750,88.190,131.300,157.610,104.290,46.410,44.650
71.933,177.430,287.650,150.240,181.790,123.600,97.860,117.080,94.620,221.810,80.770,46.740,43.340,187.820,88.070,112.250,58.120,235.690,146.160,128.690,160.430,190.030,120.060,61.800,96.120,139.000,156.260,106.000,48.170,45.360
73.450,179.210,292.470,150.040,178.720,121.550,95.760,117.870,92.000,219.830,79.340,47.120,42.380,187.560,87.180,108.150,57.450,239.220,141.900,125.560,161.950,183.420,116.380,59.980,91.250,141.020,151.920,101.210,47.020,43.290
72.267,174.570,284.510,148.290,175.570,122.920,93.250,116.820,89.440,218.570,77.670,45.890,40.920,182.660,85.540,105.500,56.830,230.980,137.250,121.870,156.370,177.100,110.880,57.470,88.320,133.370,148.600,96.050,45.070,41.660
73.290,178.840,287.540,148.270,176.150,123.700,92.140,115.770,91.440,221.840,76.860,45.600,41.350,181.870,85.750,103.180,56.240,230.910,135.200,121.680,161.470,176.030,107.720,57.990,86.380,131.460,148.400,96.910,44.720,42.450
74.390,180.760,293.040,149.500,178.440,124.730,92.000,116.010,92.890,225.610,78.010,45.140,41.460,179.240,87.200,101.060,56.510,236.360,134.870,122.580,163.250,178.300,108.910,58.750,86.740,125.400,147.430,96.850,44.690,42.020
75.157,182.540,288.770,148.080,178.780,123.300,90.270,113.100,90.050,223.920,77.120,45.400,41.150,176.970,88.440,100.880,55.640,236.590,133.040,123.170,163.670,176.920,107.670,59.180,84.000,121.860,146.200,93.290,44.040,41.200
75.935,183.600,285.000,147.590,182.720,121.890,91.210,112.170,92.640,229.450,75.600,44.750,41.370,181.120,88.560,105.570,55.580,233.330,132.790,121.230,169.900,182.320,107.290,59.170,86.730,128.650,145.740,95.800,44.760,40.660
77.532,184.680,287.000,148.700,185.090,122.940,92.700,115.950,95.470,234.430,76.400,44.600,42.990,181.230,90.460,109.160,57.000,234.820,136.910,122.990,175.900,185.390,112.110,59.670,89.500,133.440,148.510,97.340,46.930,41.670
78.752,186.740,288.690,149.110,183.560,123.670,89.970,115.310,93.370,236.560,77.910,46.110,43.320,180.880,90.930,107.770,56.400,242.740,134.280,122.590,182.670,183.160,108.610,60.130,85.330,128.910,145.730,95.510,46.200,41.710
77.853,182.510,287.700,147.140,179.470,123.780,87.030,114.550,91.100,232.900,77.190,45.540,43.220,176.540,88.260,104.560,55.460,237.210,127.590,120.260,177.540,177.210,105.000,58.390,83.140,125.220,141.520,93.960,45.680,40.530
76.912,179.750,278.000,147.130,177.090,123.710,84.030,113.920,88.700,230.100,77.890,44.820,41.950,172.820,86.020,102.920,54.850,236.830,122.970,115.730,169.640,171.800,104.480,57.740,78.030,121.500,136.120,89.860,43.900,38.350
77.385,180.530,290.610,147.640,180.900,123.420,87.520,113.810,90.050,234.480,80.050,43.940,43.850,175.410,86.550,105.910,54.910,237.980,127.050,116.950,167.000,174.450,106.190,59.080,83.810,122.520,135.990,90.220,45.250,38.850
76.927,183.160,290.960,150.440,183.490,125.940,85.900,114.610,89.160,239.330,79.780,43.700,44.270,173.810,86.990,109.050,54.710,240.200,125.410,116.980,171.330,171.870,107.920,58.280,82.220,120.000,138.690,90.310,45.450,38.400
78.740,184.910,293.360,150.520,191.380,127.660,90.450,116.210,92.550,245.350,79.720,43.260,45.060,179.830,91.040,116.850,55.720,233.190,136.040,121.560,172.500,181.880,115.020,59.920,88.410,135.440,149.270,95.300,48.100,40.860
78.285,183.630,289.050,149.020,189.360,124.950,88.670,112.440,89.620,238.100,77.550,44.970,44.605,179.570,91.510,114.370,54.380,227.430,131.950,120.290,176.040,177.830,112.080,60.290,87.260,130.440,148.380,93.270,47.780,39.770
79.808,185.660,287.990,147.680,193.860,125.450,91.330,113.280,93.000,238.190,76.890,44.540,45.440,184.100,92.950,119.920,54.260,227.870,136.030,121.380,176.930,181.440,115.690,63.100,90.730,133.320,149.680,95.540,48.870,40.140
79.213,183.430,286.910,146.710,190.620,124.990,90.170,111.620,92.040,240.880,76.550,45.890,44.640,185.080,94.260,117.830,53.970,224.780,137.690,119.120,175.260,180.100,114.060,61.980,89.830,139.000,145.810,99.170,48.870,39.750
79.722,183.510,289.940,144.370,190.860,124.330,89.470,112.600,90.280,241.880,76.370,45.170,44.900,184.410,93.750,118.020,54.100,226.430,139.180,118.390,177.850,179.930,112.470,62.255,89.330,137.530,146.440,100.100,48.690,39.600
79.722,183.510,289.940,144.370,190.860,124.330,89.470,112.600,90.280,241.880,76.370,45.170,44.900,184.410,93.750,118.020,54.100,226.430,139.180,118.390,177.850,179.930,112.470,62.255,89.330,137.530,146.440,100.100,48.690,39.600
79.183,181.570,294.890,144.560,193.220,123.860,95.820,112.030,93.300,242.480,77.260,45.030,44.840,184.840,96.620,120.950,54.300,222.400,144.940,121.760,176.520,196.060,117.410,62.340,94.320,144.730,152.080,103.360,50.370,42.160
79.528,181.810,303.770,144.890,192.820,122.480,101.370,113.890,93.900,247.360,77.550,46.090,45.960,187.720,99.870,121.530,55.140,224.810,148.590,125.540,176.600,209.660,122.420,63.560,101.230,149.520,158.150,106.820,49.460,42.970
79.562,181.400,303.970,146.970,194.260,123.690,99.860,116.060,90.870,245.140,79.040,46.730,45.595,188.730,98.460,116.750,55.720,224.130,147.560,124.530,181.100,201.220,120.740,61.700,98.060,149.820,156.820,107.590,50.500,41.830
79.485,183.250,304.850,148.750,195.240,124.060,97.310,115.920,91.700,248.480,80.720,47.090,47.820,186.320,98.580,117.300,57.380,229.700,145.850,124.900,174.790,196.490,120.130,62.930,95.070,145.850,156.440,106.980,50.730,42.940
80.463,182.830,305.930,147.190,194.350,123.960,98.600,117.250,92.790,247.290,79.560,46.680,46.300,187.410,99.540,118.770,55.780,226.910,146.180,124.890,176.360,199.930,120.500,61.860,96.750,151.390,155.580,109.150,50.880,43.300
80.835,184.910,306.310,148.250,196.360,123.940,98.930,118.060,94.690,252.710,80.840,46.990,46.890,187.590,100.740,118.750,56.400,223.720,148.350,126.000,174.230,204.140,123.320,62.120,99.070,153.310,157.640,111.000,52.650,43.550
81.280,185.360,305.350,148.650,196.870,123.470,104.270,118.530,97.180,251.000,82.060,46.900,46.940,193.290,104.110,122.180,56.830,221.000,153.350,129.050,174.990,210.570,127.090,61.930,105.400,173.160,161.210,114.470,54.580,43.610
80.580,182.920,298.080,146.730,193.640,122.110,106.440,116.050,96.280,248.950,81.550,47.900,46.860,193.240,101.280,123.690,57.220,220.880,155.910,128.890,171.440,214.820,128.960,62.970,106.540,184.300,162.550,118.000,54.980,44.200
82.875,187.200,311.850,147.300,199.610,121.560,111.230,118.330,100.810,254.900,82.260,47.920,47.830,197.160,102.710,124.820,57.740,225.670,161.370,132.060,173.880,217.920,135.120,64.340,109.730,205.430,167.410,124.360,56.140,45.350
