AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
123.000,242.350,367.070,162.830,216.860,135.620,153.710,134.280,105.750,307.750,77.090,52.710,51.980,225.210,132.530,188.970,58.300,249.170,216.800,133.230,218.720,327.640,232.740,64.550,144.570,252.960,192.700,150.620,78.130,54.750
123.000,242.350,367.070,162.830,216.860,135.620,153.710,134.280,105.750,307.750,77.090,52.710,51.980,225.210,132.530,188.970,58.300,249.170,216.800,133.230,218.720,327.640,232.740,64.550,144.570,252.960,192.700,150.620,78.130,54.750
125.900,249.070,370.180,163.430,219.040,139.430,153.620,136.450,104.510,315.400,77.000,52.510,52.410,228.850,135.120,188.500,58.870,252.020,219.270,135.930,220.290,323.540,233.710,66.540,146.060,259.360,194.970,152.030,77.630,56.800
126.210,247.860,364.370,163.390,218.650,140.100,152.540,136.500,103.580,313.780,75.790,52.810,52.025,231.910,137.160,189.730,59.110,249.100,219.190,134.220,221.090,327.060,230.640,65.560,146.150,255.170,194.840,151.750,77.050,55.700
127.900,249.900,365.640,163.610,219.270,139.800,154.930,136.740,104.190,312.470,76.120,53.190,51.770,232.610,136.540,187.560,59.000,248.120,218.500,134.930,220.790,326.550,230.410,66.250,147.130,252.580,194.950,152.290,75.600,55.580
130.360,253.250,364.890,162.970,220.700,139.710,155.120,137.260,103.020,314.430,75.490,53.280,51.910,230.250,133.680,187.320,57.600,246.880,219.860,135.120,224.450,331.140,230.480,67.050,147.040,254.950,195.720,150.360,75.360,54.790
132.995,255.850,376.300,161.250,222.520,139.780,156.280,136.370,102.920,319.230,76.310,53.120,52.090,231.480,135.450,187.890,57.490,248.950,226.980,135.730,231.280,330.810,230.750,68.260,147.780,252.360,198.000,151.650,75.860,54.180
131.240,255.910,376.280,161.640,221.470,139.800,155.950,136.920,101.780,320.790,76.220,53.180,51.570,230.960,136.640,186.490,57.540,248.940,228.600,134.590,228.760,331.840,230.930,65.405,147.570,249.520,197.830,151.840,76.200,54.700
134.430,258.490,374.500,159.480,221.020,139.370,154.090,135.110,102.240,320.400,76.430,53.350,51.660,231.320,133.540,185.490,57.620,249.950,229.000,131.180,232.000,327.680,229.350,65.220,145.990,253.270,196.470,152.210,76.190,54.600
132.030,255.590,375.630,159.920,221.980,139.320,151.210,135.600,104.270,320.020,76.400,53.090,51.370,230.310,132.260,187.460,57.700,249.620,229.380,132.630,228.020,335.350,232.580,64.190,147.420,252.430,196.750,155.430,76.570,54.470
