Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
56,44418.60359292322391411290,55270.47144542090973118320,1.24430907265681378604,8,7203.T 8306.T 8058.T 8001.T MSFT MRK VZ AXP 
57,44484.82048961307737044990,55331.42159111931687220931,1.24382701744382329068,9,7203.T 8306.T 9983.T 7267.T 5108.T MRK VZ AMGN IBM 
58,45049.83980949249234981835,55363.24143848287349101156,1.22893314765610406347,10,7203.T 8306.T 8058.T 8001.T 5108.T WMT MRK VZ AMGN IBM 
59,45071.70746674775000428781,56735.01594819609454134479,1.25877227948493208842,9,8306.T 8058.T 8001.T 7267.T 5108.T MRK VZ AMGN IBM 
60,46675.64850100498733809218,57049.60347363548498833552,1.22225625793730818813,8,8306.T 8058.T 8001.T 5108.T MRK VZ AMGN IBM 
61,47102.86553670583089115098,57103.80977335798525018618,1.21232135503218430017,9,7203.T 8306.T 6501.T 8058.T 5108.T MRK VZ AMGN IBM 
62,47264.56485921930288895965,57615.45998149859224213287,1.21899905675869701938,9,7203.T 8306.T 8001.T 7267.T 5108.T MRK VZ AMGN IBM 
63,48851.06508724657760467380,58059.89047641069191740826,1.18850818037881911238,8,7203.T 8306.T 8001.T 5108.T MRK VZ AMGN IBM 
64,49857.43517600744235096499,58404.92753469009767286479,1.17143866964893339500,7,7203.T 8306.T 8058.T 8001.T MRK VZ AXP 
65,50521.75950943819771055132,58437.86064292318042134866,1.15668696439612594951,8,8306.T 8058.T 8001.T 7267.T MRK VZ AMGN IBM 
66,51473.75227357923722593114,58719.77323311747022671625,1.14077118219449324954,9,7203.T 8306.T 6501.T 8001.T 5108.T MRK VZ AMGN IBM 
67,51539.48097660922940121964,58856.53709990746574476361,1.14196992256516938191,8,7203.T 8306.T 6501.T 8058.T MRK VZ AMGN IBM 
68,51742.20620780317403841764,59008.45075161888962611556,1.14043167225289088229,10,7203.T 8306.T 6501.T 8001.T 7267.T MRK VZ AMGN IBM TRV 
69,51871.98440225946978898719,59299.20061517112480942160,1.14318357584538699001,9,7203.T 8306.T 8058.T 8001.T 5108.T MRK VZ AMGN IBM 
70,53120.93377869499818189070,59448.14764569838735042140,1.11910961304563927321,8,7203.T 8306.T 8001.T 7267.T MRK VZ AMGN IBM 
71,54405.90192643514455994591,59524.21832793710927944630,1.09407649207658930202,10,7203.T 8306.T 8058.T 8001.T 7267.T MRK VZ AMGN IBM TRV 
72,54537.07703671448689419776,59905.36007631818938534707,1.09843364058528036864,8,7203.T 8306.T 6501.T 8058.T 7267.T MRK VZ IBM 
73,54559.69888282146712299436,60257.63066373726906022057,1.10443480989793063607,7,8306.T 8058.T 8001.T 7267.T MRK VZ IBM 
74,55828.64866643057757755741,60536.14823311747022671625,1.08432049994284529504,9,7203.T 8306.T 8058.T 8001.T 7267.T MRK VZ AMGN IBM 
75,56365.24891342344199074432,61417.34007631821441464126,1.08963131114092548479,7,7203.T 8306.T 8001.T 7267.T MRK VZ IBM 
76,57348.13739801516931038350,61867.79478954670776147395,1.07881088378099554426,6,7203.T 8001.T 7267.T MRK VZ IBM 
77,61044.09284280014253454283,62378.43546947267896030098,1.02185866911166511883,8,7203.T 8306.T 8058.T 8001.T 7267.T MRK VZ IBM 
78,63668.98075385054835351184,62661.83630203514621825889,0.98418155214846136936,6,7203.T 8306.T 8001.T MRK VZ IBM 
79,64864.59096798152313567698,63563.08313829785765847191,0.97993500289971591233,7,7203.T 8306.T 8058.T 8001.T MRK VZ IBM 
80,66918.48648659951868467033,63583.12074699352524476126,0.95015778277839701982,6,7203.T 8306.T 8001.T MRK VZ TRV 
81,71635.68709703352942597121,63614.54647779829974751920,0.88802870546393641860,8,7203.T 8306.T 6501.T 8058.T 8001.T MRK VZ IBM 
82,71879.64673306477197911590,64381.62133903791982447729,0.89568639058742416381,6,7203.T 8058.T 8001.T MRK VZ IBM 
83,78333.27910191653063520789,64868.52844588344305520877,0.82810944709062161984,5,7203.T 8306.T 8001.T 7267.T VZ 
84,80962.43383541816729120910,65193.32398473635112168267,0.80522930075524246085,5,7203.T 8306.T 8001.T MRK IBM 
85,83676.86346629800391383469,66221.60119102681346703321,0.79139679055607126124,5,7203.T 8306.T 8001.T MRK VZ 
86,85078.34843855726649053395,67561.13532839961408171803,0.79410492291339662696,4,7203.T 8306.T 8001.T VZ 
87,100359.17207586759468540549,67881.88552266420447267592,0.67638945318668197704,5,7203.T 8306.T 8058.T 8001.T VZ 
88,101385.88539503830543253571,70448.74943570763571187854,0.69485756484950822465,3,7203.T 8001.T VZ 
89,152547.20351653167745098472,73485.41454671599785797298,0.48172246263925982968,3,7203.T 8306.T 8001.T 
90,176538.83121258157189004123,74155.90639454209303949028,0.42005436359350467601,3,7203.T 8001.T MRK 
91,188404.08831962913973256946,77391.48242368178034666926,0.41077390153225590286,1,7203.T 
92,225150.77752228674944490194,80766.69565217391937039793,0.35872270369654468691,2,7203.T 8001.T 
93,290810.15997233445523306727,84141.90888066604384221137,0.28933620781567842561,1,8001.T 

fitness_time:,331644
execution time:,2.10053799999999979420 s
Exp_times:,1
gen:,7000
theta:,0.00029999999999999997
market:,NIKKEI30&DJIA30
