7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T,AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
1260.000,891.800,109.540,715.400,4430.000,2944.500,11153.333,802.000,5061.667,2032.000,737.300,11685,813.000,1431.000,1769.500,5897.000,1483.333,814.500,1337.500,1578.333,1042.333,3856.000,1489.000,1953.000,4517,1406.500,813.500,4697.000,1010.000,3612.000,37.513,72.580,192.230,132.510,100.870,26.833,93.030,91.100,110.780,149.850,63.920,45.700,31.650,154.040,59.840,110.610,48.890,174.130,137.010,145.300,91.220,227.000,113.100,36.350,85.240,239.440,203.180,129.210,194.070,81.130
1260.000,883.400,108.780,716.800,4457.500,2994.000,11100.000,794.833,5191.667,2062.000,740.800,11725,819.667,1436.333,1758.500,5900.000,1470.000,815.000,1338.000,1575.000,1071.333,3860.000,1494.000,1943.000,4578,1404.500,832.500,4716.000,1018.750,3603.000,39.285,72.260,193.000,132.160,101.280,26.843,93.110,91.040,110.460,150.500,63.440,45.590,31.520,156.590,59.790,108.670,48.210,174.460,138.720,144.450,89.890,226.270,113.090,36.640,85.300,237.950,205.410,128.730,192.900,81.030
1245.000,883.800,108.680,712.800,4420.500,3005.000,11126.667,794.333,5068.333,2038.000,743.600,11710,845.167,1426.000,1770.000,5950.000,1465.000,823.750,1345.750,1573.000,1061.667,3837.000,1493.000,1944.000,4538,1406.500,830.600,4741.000,1010.000,3613.000,38.892,72.150,194.770,133.350,100.590,26.957,92.500,90.860,109.430,150.790,63.520,45.670,31.560,154.720,60.140,109.120,48.610,174.180,139.560,144.940,90.350,223.990,113.560,36.490,85.540,238.250,207.620,129.560,190.290,81.050
1243.200,886.800,108.700,709.200,4406.500,2998.000,11036.667,788.000,4946.667,2008.000,738.800,11540,854.833,1418.000,1732.000,5974.000,1475.000,832.750,1331.500,1566.333,1041.667,3802.000,1501.000,1937.000,4513,1403.000,832.500,4764.000,1027.500,3573.000,39.097,72.680,194.880,133.180,100.890,26.827,93.660,90.670,110.110,152.750,63.100,45.500,31.800,153.820,59.760,107.690,48.910,173.850,140.040,145.160,90.450,229.790,114.350,36.300,85.970,237.710,207.650,129.690,192.330,81.060
1267.800,882.000,109.000,713.400,4511.500,3015.000,11053.333,792.667,5010.000,2003.000,737.300,11755,858.333,1421.667,1763.000,5975.000,1470.000,834.000,1343.000,1570.667,1042.333,3819.000,1496.000,1951.000,4480,1404.000,832.800,4732.000,1040.000,3575.000,39.703,72.400,194.780,132.860,101.490,27.093,94.020,91.440,109.780,153.350,62.840,45.640,31.840,154.970,59.790,106.350,48.860,174.580,138.960,143.470,90.500,232.920,114.710,36.430,85.850,240.230,207.440,128.800,191.640,81.510
1267.200,894.400,108.160,710.600,4469.000,3010.000,11006.667,779.833,5031.667,1991.200,730.500,11740,854.333,1419.667,1757.500,5957.000,1465.000,824.500,1345.000,1550.667,1036.333,3845.000,1505.333,1947.000,4470,1396.000,832.000,4752.000,1018.750,3589.000,40.020,72.790,194.900,132.270,101.280,27.197,93.680,91.580,110.350,153.350,62.320,45.600,31.670,154.920,59.460,106.980,48.600,173.690,138.670,142.110,90.260,232.050,114.410,36.410,85.940,239.500,206.430,128.550,190.230,81.080
1247.200,880.400,107.560,703.000,4403.000,2946.000,10866.667,776.333,4923.333,1904.600,724.900,11325,850.833,1401.667,1741.000,5896.000,1456.667,819.750,1330.250,1524.667,1024.000,3821.000,1488.333,1937.000,4406,1399.500,817.300,4731.000,947.500,3613.000,40.265,72.470,194.830,133.230,100.970,27.203,93.530,91.920,110.890,155.260,62.490,45.590,31.620,154.920,59.900,102.830,48.220,173.550,139.000,141.770,90.120,231.010,114.340,36.590,85.690,234.310,206.480,130.150,190.500,81.280
1255.000,867.600,107.660,696.700,4376.000,2931.500,10826.667,775.500,4951.667,1908.200,719.000,11205,852.333,1386.333,1743.000,5985.000,1441.667,817.750,1340.000,1495.667,1026.000,3803.000,1489.667,1909.000,4388,1386.000,825.700,4786.000,931.250,3643.000,38.830,71.410,192.570,133.090,99.490,26.887,92.190,91.740,110.110,153.880,62.180,45.740,31.000,156.620,59.070,101.350,48.020,169.110,137.240,141.840,87.630,225.500,113.150,36.140,84.560,232.880,206.230,129.690,189.330,79.750
1255.000,867.600,107.660,696.700,4376.000,2931.500,10826.667,775.500,4951.667,1908.200,719.000,11205,852.333,1386.333,1743.000,5985.000,1441.667,817.750,1340.000,1495.667,1026.000,3803.000,1489.667,1909.000,4388,1386.000,825.700,4786.000,931.250,3643.000,39.370,72.500,193.020,133.100,100.090,26.800,91.420,91.340,109.230,154.880,62.380,45.590,31.470,157.300,58.970,101.990,48.060,169.430,136.590,141.840,88.290,224.150,112.850,35.870,84.290,234.880,205.980,128.180,189.780,80.720
1236.000,851.400,105.000,688.500,4331.000,2910.000,10716.667,769.667,4965.000,1930.600,720.700,11145,841.000,1367.000,1732.500,5917.000,1438.333,800.250,1322.500,1483.000,1010.333,3783.000,1489.667,1883.000,4353,1368.500,826.500,4789.000,915.000,3631.000,39.962,73.590,193.710,133.480,101.870,26.900,92.490,91.650,108.710,154.260,62.670,45.800,31.840,157.260,59.780,101.400,48.780,171.670,138.270,142.320,90.250,227.360,113.710,36.340,85.470,237.150,207.370,128.790,190.230,81.530
1255.000,859.800,105.520,700.100,4388.000,2956.000,10876.667,773.167,5060.000,1926.600,725.200,11335,841.667,1387.000,1749.000,5971.000,1446.667,809.750,1340.250,1501.333,1018.667,3775.000,1498.000,1910.000,4399,1384.500,835.800,4825.000,931.250,3662.000,40.400,73.220,194.500,133.380,102.630,26.923,92.730,92.200,108.570,150.170,62.500,46.190,32.090,157.620,58.560,101.510,48.480,170.040,137.420,142.070,90.700,227.590,113.650,36.000,86.790,239.170,207.180,129.050,191.010,81.130
1238.800,865.000,105.500,699.700,4376.000,2951.500,10736.667,784.833,5001.667,1953.600,726.700,11295,839.000,1383.667,1742.000,5974.000,1463.333,808.750,1352.000,1509.667,1020.667,3785.000,1490.333,1916.000,4349,1399.000,833.200,4787.000,943.750,3684.000,40.237,73.650,193.770,134.170,103.320,26.993,92.090,92.440,106.840,152.250,62.700,46.200,32.340,158.900,58.540,102.200,48.410,171.390,138.080,142.500,92.240,225.610,114.120,35.810,87.390,237.590,207.920,129.470,191.820,81.260
1235.000,865.600,105.560,693.100,4371.000,2950.000,10703.333,785.333,5006.667,1952.400,726.400,11240,846.667,1382.667,1744.000,5930.000,1460.000,808.500,1351.250,1499.000,1014.333,3784.000,1474.333,1908.000,4342,1394.000,831.400,4789.000,952.500,3675.000,39.465,72.400,192.700,133.040,102.160,26.567,90.650,92.070,105.920,149.670,61.840,45.860,31.040,157.890,57.460,101.380,47.890,167.810,135.850,140.700,90.880,221.420,113.140,35.170,86.090,235.590,205.350,128.190,189.540,80.890
1225.000,845.200,104.440,679.400,4360.500,2950.500,10450.000,779.333,5050.000,1922.400,716.300,11100,841.833,1365.667,1742.000,5887.000,1431.667,803.750,1332.500,1483.667,1006.667,3804.000,1460.667,1890.000,4283,1381.000,818.600,4736.000,956.250,3643.000,39.375,72.490,190.820,132.630,102.510,26.437,90.740,92.470,106.480,147.490,61.490,45.670,30.370,157.760,54.950,100.700,47.690,167.290,134.950,139.700,90.760,222.150,113.920,35.010,85.380,235.770,203.530,127.890,190.200,80.030
1232.600,836.600,105.860,670.600,4331.000,2948.500,10310.000,764.667,4968.333,1914.600,717.000,11010,834.833,1355.667,1740.500,5893.000,1436.667,801.250,1327.750,1466.667,1003.000,3743.000,1465.667,1875.000,4261,1386.000,806.100,4674.000,951.250,3643.000,39.303,72.150,192.030,133.450,103.220,26.570,90.630,92.860,105.780,149.200,61.970,45.680,30.680,158.360,53.610,101.170,48.140,168.160,135.570,140.330,91.760,220.790,113.600,34.920,85.300,235.680,204.550,127.450,191.580,80.600
1227.600,838.200,106.560,668.100,4341.500,2919.000,10303.333,763.500,5035.000,1904.000,721.700,10855,835.000,1350.000,1747.500,5848.000,1416.667,807.500,1331.750,1466.667,1007.333,3740.000,1464.333,1873.000,4258,1383.000,810.900,4658.000,950.000,3622.000,39.945,73.160,194.790,134.700,104.070,26.673,91.560,92.790,106.360,149.910,62.420,45.600,31.270,159.640,54.130,102.770,48.350,170.070,136.900,141.010,92.950,223.580,115.820,34.650,85.300,239.750,205.460,127.770,194.340,81.280
1234.600,847.400,107.660,665.300,4399.500,2950.500,10460.000,763.667,5081.667,1906.200,726.300,10895,829.333,1348.667,1741.000,5892.000,1426.667,802.500,1320.500,1475.000,1009.000,3741.000,1469.667,1872.000,4244,1385.000,815.100,4683.000,951.250,3632.000,39.995,72.720,194.240,132.800,103.180,26.653,91.670,92.440,106.610,149.100,62.150,45.540,30.920,158.810,53.610,101.500,48.280,169.000,136.410,142.140,93.070,222.740,114.750,34.660,85.280,238.090,202.670,127.160,193.740,81.360
1221.400,833.600,105.680,660.000,4392.000,2944.500,10526.667,767.833,5026.667,1922.000,717.500,10880,825.667,1342.667,1727.500,5895.000,1415.000,798.500,1321.000,1473.000,1011.333,3717.000,1446.667,1870.000,4206,1369.500,806.900,4676.000,945.000,3635.000,39.818,72.690,194.750,132.890,103.220,26.113,91.520,92.270,107.440,148.250,62.710,45.410,31.240,158.410,53.840,101.520,48.310,169.950,136.540,142.940,94.150,222.990,114.780,34.710,85.360,238.740,202.120,125.570,193.050,80.500
1231.600,839.800,105.820,664.300,4417.500,2957.500,10580.000,786.167,5043.333,1921.800,719.000,10900,833.667,1352.000,1738.500,5891.000,1425.000,803.750,1322.750,1475.333,1017.667,3696.000,1459.000,1879.000,4217,1376.000,802.400,4652.000,947.500,3625.000,39.965,72.820,194.360,131.680,103.350,26.210,91.890,92.510,108.230,149.650,62.940,45.570,31.440,158.820,53.900,102.410,48.680,169.740,136.820,143.740,94.100,222.470,115.350,34.670,85.470,235.890,202.130,126.470,193.620,81.130
1225.200,838.200,106.720,657.600,4422.000,2969.500,10470.000,791.000,5023.333,1920.400,720.900,10845,840.500,1342.667,1750.500,5934.000,1438.333,804.250,1323.000,1462.333,1015.000,3709.000,1470.667,1876.000,4190,1381.000,805.500,4706.000,946.250,3643.000,40.367,72.830,195.090,131.740,103.780,26.010,91.600,92.470,107.760,151.390,63.320,45.420,31.540,159.670,53.730,102.560,48.610,171.780,136.870,142.510,93.660,220.350,115.070,34.650,85.410,237.180,202.460,123.230,194.010,81.160
1218.000,840.000,107.160,656.300,4367.000,2953.000,10266.667,798.333,5048.333,1924.400,724.000,10835,842.167,1343.333,1751.000,5974.000,1423.333,803.750,1308.500,1449.000,1013.333,3713.000,1449.667,1875.000,4210,1390.500,795.000,4684.000,950.000,3657.000,40.727,73.050,196.730,132.210,103.770,26.257,91.100,92.320,107.860,149.840,63.120,45.450,31.480,159.380,52.730,102.570,48.510,172.230,137.630,143.140,93.830,219.960,116.010,34.730,85.420,240.490,202.920,123.010,192.660,81.420
1230.200,864.200,108.620,660.500,4421.500,2973.500,10350.000,823.000,5056.667,1935.000,744.400,10955,844.000,1344.000,1752.000,6019.000,1441.667,808.000,1332.500,1456.667,1013.333,3736.000,1453.000,1875.000,4220,1388.500,802.900,4691.000,950.000,3688.000,40.837,74.010,195.880,131.070,103.730,26.180,91.310,91.870,107.730,150.000,63.120,45.390,31.990,159.530,52.560,102.870,48.120,173.650,138.040,142.560,94.860,222.420,117.550,34.890,85.690,240.460,203.690,121.810,194.700,81.780
1236.600,867.400,109.360,674.100,4461.000,2967.000,10490.000,866.333,5153.333,1944.800,757.000,10995,847.833,1371.333,1796.000,6077.000,1490.000,822.250,1334.000,1463.333,1027.000,3764.000,1455.000,1891.000,4268,1383.500,815.100,4719.000,948.750,3726.000,41.000,74.770,198.900,132.370,103.520,26.023,90.890,92.270,107.620,149.870,63.860,45.550,32.210,159.970,52.810,101.200,47.970,177.770,138.270,143.030,95.490,223.740,117.490,35.070,86.100,239.660,204.320,121.180,199.950,81.500
