7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T,AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
1516.000,1540.600,111.460,564.900,4502.000,3300.000,19200.000,2526.000,8023.333,2549.000,820.000,15595,932.667,1289.333,2530.000,4189.000,3856.667,968.500,1112.750,2000.667,936.500,2290.500,1418.667,1623.000,4076,1859.000,1195.000,3898.000,1785.500,4321.000,77.165,174.380,274.020,150.170,200.810,38.090,133.370,125.110,106.280,231.540,87.340,58.580,46.530,215.180,99.270,141.320,58.050,216.880,171.320,146.270,185.420,239.010,129.770,64.420,131.000,316.000,156.590,133.610,51.810,50.950
1527.800,1540.000,111.200,568.000,4517.000,3257.000,19253.333,2625.000,8161.667,2570.000,817.400,15615,938.167,1300.667,2563.000,4228.000,3900.000,970.000,1116.500,2012.667,936.333,2290.000,1420.667,1624.000,4021,1852.500,1250.000,3902.000,1776.500,4393.000,79.713,180.120,280.840,151.600,203.560,38.423,135.290,125.660,106.850,235.000,88.360,58.840,47.620,214.620,101.380,144.730,58.290,221.810,175.210,149.110,188.340,241.940,133.510,65.460,131.850,317.940,157.240,132.580,52.700,52.340
1543.000,1531.800,112.740,570.600,4577.000,3330.000,19200.000,2633.333,8196.667,2619.000,821.000,15780,957.333,1301.333,2604.500,4328.000,3896.667,972.750,1125.000,2048.000,949.667,2298.000,1425.333,1628.000,4071,1884.000,1270.500,3941.000,1830.000,4429.000,80.362,179.900,295.730,153.990,202.810,38.937,137.590,126.810,110.280,238.110,85.830,58.850,48.450,214.370,100.540,141.370,59.130,231.940,176.900,156.330,185.490,244.300,137.440,67.340,133.600,329.550,162.330,136.780,54.080,52.980
1582.800,1569.000,114.480,580.900,4727.000,3386.000,19833.333,2721.333,8183.333,2694.000,847.600,16380,978.667,1321.667,2675.000,4450.000,3960.000,995.000,1151.000,2104.333,979.000,2335.000,1457.667,1647.000,4187,1967.000,1270.500,4001.000,1878.000,4471.000,81.302,183.630,292.460,153.530,203.040,38.770,137.610,127.140,109.490,238.840,85.680,58.990,48.690,212.870,100.270,142.700,59.440,231.450,176.350,156.760,186.730,241.820,137.250,67.090,133.250,341.430,162.890,136.500,53.810,53.490
1572.400,1565.200,114.020,579.400,5064.000,3411.000,19506.667,2726.667,8116.667,2729.000,853.800,16345,973.333,1318.000,2688.000,4498.000,4090.000,990.500,1132.250,2071.000,952.500,2301.000,1455.667,1646.000,4179,1984.500,1271.500,4012.000,2064.000,4431.000,80.007,183.890,289.220,151.890,202.740,38.817,137.170,126.080,108.940,237.300,85.080,59.190,47.970,211.610,99.440,141.020,59.940,229.330,175.280,153.410,185.720,238.000,133.370,66.020,131.820,336.750,160.080,136.010,52.550,53.240
1549.600,1538.200,113.400,577.100,5140.000,3423.000,19553.333,2692.000,8108.333,2696.000,852.000,16210,969.167,1316.333,2640.500,4364.000,4075.000,978.750,1119.500,2071.333,979.833,2314.500,1452.000,1647.000,4133,1982.000,1261.500,3954.000,2010.500,4413.000,80.388,188.700,287.030,151.860,205.990,38.417,137.740,126.170,109.790,240.610,85.660,59.750,48.870,213.210,100.020,142.590,60.240,227.420,176.950,154.430,189.120,237.360,134.320,66.390,132.240,344.670,160.150,136.220,51.780,53.420
1549.600,1538.200,113.400,577.100,5140.000,3423.000,19553.333,2692.000,8108.333,2696.000,852.000,16210,969.167,1316.333,2640.500,4364.000,4075.000,978.750,1119.500,2071.333,979.833,2314.500,1452.000,1647.000,4133,1982.000,1261.500,3954.000,2010.500,4413.000,79.903,184.440,290.790,151.990,203.940,38.467,138.000,124.160,111.210,241.640,85.250,59.590,49.130,215.730,100.020,141.010,58.690,228.960,179.150,153.480,189.110,236.460,136.190,67.410,132.630,344.420,162.450,137.380,52.690,52.990
1558.800,1543.400,112.820,572.500,5751.000,3440.000,19726.667,2675.667,8391.667,2663.000,853.000,16070,963.000,1309.333,2619.000,4396.000,4018.333,976.000,1115.750,2045.667,986.000,2307.000,1444.333,1625.000,4180,1945.000,1269.500,3859.000,2051.500,4418.000,81.800,184.710,303.480,151.090,207.440,38.617,138.000,123.450,112.040,241.590,83.250,59.410,49.930,217.460,103.000,141.850,58.230,227.000,181.180,155.310,189.460,238.650,139.590,67.460,133.240,347.450,163.800,135.710,53.550,54.470
1551.600,1534.000,111.360,572.300,5458.000,3444.000,20186.667,2615.000,8568.333,2693.000,841.400,15540,962.667,1297.333,2614.000,4326.000,4008.333,981.500,1119.500,2046.667,997.167,2296.500,1419.000,1619.000,4181,1922.000,1261.000,3890.000,2020.000,4408.000,81.218,183.710,302.200,150.090,207.400,39.147,137.880,124.960,111.660,242.360,81.970,59.610,47.320,217.420,103.370,140.900,58.650,223.040,180.120,154.310,188.640,238.350,139.720,67.440,134.460,342.820,159.760,136.880,53.270,53.570
1545.800,1524.400,111.940,572.300,5517.000,3425.000,19823.333,2579.333,8561.667,2713.000,832.800,15120,956.500,1289.000,2617.000,4298.000,3966.667,971.500,1120.250,2046.667,986.667,2276.500,1432.333,1610.000,4131,1906.500,1243.000,3891.000,2036.500,4352.000,81.237,185.350,298.780,150.130,210.290,39.297,137.460,126.140,110.080,245.030,82.650,59.950,46.970,217.090,103.540,139.540,58.510,223.480,180.810,150.700,189.950,237.080,137.990,67.270,135.870,340.490,161.010,137.760,53.100,52.850
