7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T,AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
1197.800,805.800,107.060,691.300,4473.000,3078.000,12356.667,814.833,5458.333,2015.000,674.800,10970,745.167,1341.333,1571.500,5735.000,1448.333,748.500,1193.750,1589.333,1037.333,4205.000,1579.000,1941.000,4336,1409.000,800.700,4727.000,1018.750,3680.000,38.295,70.100,179.580,128.780,95.400,26.603,83.060,88.130,104.270,155.150,65.260,45.790,31.820,152.390,52.300,108.210,46.510,156.240,133.450,152.670,90.050,215.010,105.650,36.120,78.280,187.320,204.350,125.400,188.280,82.180
1218.400,831.800,105.640,721.600,4497.500,3093.000,12746.667,821.000,5458.333,2030.000,692.100,11105,769.333,1389.000,1611.000,5781.000,1450.000,772.500,1227.250,1634.333,1064.667,4192.000,1597.333,2001.000,4445,1414.000,807.800,4895.000,1037.500,3726.000,38.862,71.760,179.390,130.080,96.150,26.540,82.640,88.590,103.110,155.350,65.470,45.890,31.980,153.740,52.980,107.180,46.440,159.150,134.030,152.050,90.860,213.310,105.950,36.320,78.490,190.230,206.700,125.150,189.150,83.100
1193.600,834.800,106.940,711.500,4567.500,3073.000,12706.667,822.167,5585.000,2048.000,687.000,11040,745.167,1373.667,1596.500,5806.000,1455.000,757.250,1207.750,1621.333,1039.000,4183.000,1605.000,1970.000,4469,1414.500,821.500,4843.000,1040.000,3737.000,38.483,72.280,179.370,130.360,96.550,26.753,82.790,88.740,103.190,154.790,65.070,45.990,31.760,152.790,53.010,106.520,46.370,160.220,133.490,152.410,91.380,213.990,105.200,36.340,78.970,188.950,206.220,125.380,189.630,83.380
1182.000,833.400,106.920,710.700,4474.500,3042.000,12573.333,812.500,5563.333,2062.000,681.700,10925,750.500,1376.667,1580.500,5678.000,1403.333,750.000,1203.000,1606.333,1037.333,4150.000,1590.667,1967.000,4389,1356.500,805.200,4841.000,1017.500,3706.000,38.612,72.520,180.820,130.830,95.790,26.310,82.960,88.800,104.170,154.200,64.670,45.980,31.560,151.230,52.480,105.500,46.440,159.530,132.740,152.370,91.100,214.530,104.550,36.130,78.850,186.750,205.410,124.030,191.190,81.450
1180.400,825.200,105.980,714.500,4482.500,3032.000,12473.333,809.333,5605.000,2037.000,686.500,10910,756.667,1394.000,1581.500,5629.000,1395.000,753.750,1200.750,1607.000,1032.667,4099.000,1572.667,1970.000,4379,1354.000,793.900,4828.000,1015.000,3675.000,38.843,72.390,183.210,130.750,96.090,26.383,83.910,88.770,103.770,154.960,64.060,45.510,31.610,151.940,53.230,105.920,46.500,161.660,132.720,150.980,91.390,215.780,103.510,36.260,79.810,188.100,205.010,123.500,191.940,81.460
1161.200,823.200,105.400,723.000,4410.500,3003.000,12430.000,806.167,5560.000,2010.000,679.300,10925,754.667,1409.667,1612.500,5630.000,1390.000,751.500,1200.250,1634.667,1022.667,4071.000,1562.333,1974.000,4376,1347.500,787.800,4792.000,1010.000,3619.000,38.748,71.950,181.690,130.550,96.090,26.310,84.950,87.850,104.000,153.500,63.200,45.130,31.610,151.430,53.200,104.320,46.190,162.650,133.550,152.100,91.250,218.760,105.010,36.480,79.950,189.930,205.940,123.780,191.910,81.470
1167.600,823.200,104.760,734.700,4738.000,3006.000,12686.667,806.667,5635.000,2013.000,678.300,11090,756.667,1422.333,1607.000,5554.000,1371.667,754.000,1204.500,1627.667,1025.000,4030.000,1546.333,1997.000,4411,1343.000,798.700,4823.000,998.750,3603.000,37.245,70.320,181.460,131.530,94.560,26.473,86.960,88.160,106.400,152.960,64.390,45.320,31.370,151.480,53.460,105.620,46.720,164.060,133.790,154.100,87.270,222.440,105.920,35.710,80.310,190.030,206.930,125.230,194.220,80.990
1176.000,813.200,104.920,733.300,4614.000,3007.000,12296.667,799.667,5465.000,1999.000,672.300,11060,766.167,1418.667,1605.500,5601.000,1381.667,754.500,1199.750,1651.667,1022.000,4127.000,1562.000,2007.000,4323,1355.500,779.800,4852.000,995.000,3614.000,36.355,69.780,179.250,131.820,93.500,26.413,86.980,88.240,108.040,152.180,64.390,45.330,31.250,148.470,54.030,107.040,47.190,164.880,133.260,155.180,86.180,221.910,106.070,35.730,80.170,190.000,207.390,125.670,192.030,81.810
1174.800,807.400,105.000,734.000,4539.000,3024.000,12236.667,803.500,5453.333,1994.600,677.000,11020,764.333,1427.667,1598.500,5601.000,1385.000,766.500,1192.000,1661.000,1019.000,4101.000,1567.667,2010.000,4285,1363.500,792.300,4846.000,986.250,3606.000,36.648,70.650,181.050,132.020,95.080,26.507,87.270,88.060,108.130,153.990,63.270,45.030,31.700,149.820,54.310,106.560,46.460,164.430,134.390,154.250,87.270,224.200,105.750,35.880,80.590,191.090,209.110,126.100,195.780,81.800
1171.800,812.000,104.860,729.300,4494.000,2999.000,12196.667,802.667,5388.333,1991.600,668.500,11005,758.333,1415.000,1586.000,5586.000,1371.667,763.500,1185.500,1656.333,1021.333,4105.000,1577.000,2003.000,4313,1360.000,789.000,4862.000,985.000,3640.000,36.290,70.270,182.360,132.770,95.320,26.633,87.090,88.440,106.600,156.760,63.370,45.300,31.600,150.680,54.660,106.140,46.690,165.100,134.240,153.810,87.170,226.510,104.710,35.530,80.840,192.380,210.010,127.960,193.590,82.880
1158.800,827.600,106.060,715.000,4428.500,3005.000,12233.333,812.167,5311.667,1991.200,660.000,10975,751.333,1398.333,1582.500,5609.000,1375.000,761.250,1164.500,1617.000,1019.000,4096.000,1595.333,1969.000,4277,1366.500,788.000,4714.000,982.500,3666.000,36.072,69.900,180.380,133.040,94.170,26.303,86.570,89.380,106.330,156.770,63.190,45.250,31.580,151.170,52.900,105.980,46.640,164.110,134.470,154.220,86.270,223.230,106.400,35.310,80.700,195.450,211.290,129.020,192.300,82.560
1158.800,827.400,108.380,722.600,4557.500,3054.000,12283.333,818.833,5255.000,1986.000,666.700,11205,754.833,1410.333,1605.000,5639.000,1373.333,773.250,1157.500,1615.667,1025.667,4118.000,1594.000,1982.000,4258,1369.500,788.500,4723.000,1002.500,3670.000,35.568,70.000,181.630,134.350,94.170,25.080,86.180,89.660,108.350,156.640,62.970,45.310,31.630,151.990,51.100,105.510,46.630,162.420,134.630,155.380,86.000,221.810,107.600,35.210,81.450,196.440,213.240,129.440,193.170,78.440
1157.400,858.000,107.820,725.200,4608.500,3078.000,12206.667,829.167,5341.667,2012.000,669.000,11270,754.000,1408.333,1601.000,5681.000,1380.000,770.250,1157.750,1615.000,1022.000,4109.000,1582.667,1977.000,4312,1383.500,795.800,4751.000,995.000,3691.000,36.585,70.870,183.020,134.070,94.790,25.167,88.070,89.860,107.460,158.810,63.680,45.380,31.990,153.140,52.020,105.370,46.570,165.090,135.840,154.840,87.540,226.130,107.490,35.510,81.880,199.080,213.360,128.270,195.660,79.810
1161.800,855.600,108.960,729.600,4636.500,3091.000,12376.667,831.000,5456.667,2033.000,674.200,11410,762.167,1420.667,1616.500,5666.000,1373.333,778.000,1166.000,1618.000,1022.000,4106.000,1593.333,1983.000,4345,1379.000,801.900,4832.000,1000.000,3671.000,36.252,69.910,183.270,134.220,94.380,25.180,87.520,89.630,106.480,157.670,64.530,45.610,31.850,154.070,51.560,103.940,45.940,166.290,134.910,154.950,86.920,225.100,107.040,34.860,82.510,198.330,213.360,128.750,195.300,78.300
1168.000,845.600,109.220,719.800,4591.000,3064.000,12270.000,835.000,5405.000,2014.000,678.800,11295,755.500,1410.667,1619.000,5693.000,1385.000,772.000,1164.000,1597.000,1022.333,4045.000,1594.333,1980.000,4341,1377.000,807.200,4828.000,1002.500,3695.000,36.468,70.270,184.920,134.910,94.540,25.413,87.120,89.400,104.490,156.590,65.460,45.220,31.840,153.730,52.590,104.800,45.410,171.350,134.250,153.790,87.560,222.490,103.470,34.580,82.210,199.170,212.860,128.580,191.040,78.120
1175.400,855.200,108.760,723.200,4625.000,3030.000,12236.667,838.833,5375.000,2012.000,670.300,11300,751.500,1421.000,1613.500,5764.000,1386.667,767.750,1164.750,1570.667,1015.000,4010.000,1579.000,1981.000,4330,1387.000,824.600,4906.000,1012.500,3681.000,36.407,70.260,186.500,136.050,93.950,25.173,87.020,89.030,104.450,155.480,66.020,45.070,31.850,154.800,52.400,104.220,45.420,173.820,134.070,154.400,88.470,219.770,103.840,34.360,82.250,199.440,212.220,128.310,191.490,76.370
1172.000,855.000,108.900,723.900,4616.500,3025.000,12286.667,847.000,5323.333,2017.000,674.300,11520,751.833,1420.000,1620.000,5753.000,1395.000,767.250,1171.000,1567.333,1020.333,4025.000,1586.333,1993.000,4343,1405.000,833.500,4896.000,1008.750,3699.000,36.570,71.210,185.250,136.430,95.580,24.947,86.860,89.420,105.000,151.310,66.160,45.250,32.090,154.640,52.850,104.360,45.390,172.500,133.990,154.110,88.620,217.190,104.110,34.190,82.220,202.230,212.900,127.660,190.410,76.340
1167.600,859.600,108.580,726.900,4629.000,2999.500,12350.000,850.000,5425.000,2019.000,671.200,11470,754.167,1400.333,1620.500,5784.000,1420.000,762.750,1169.750,1556.667,1021.667,4090.000,1574.333,1974.000,4369,1401.500,831.600,4855.000,1010.000,3680.000,36.455,70.530,185.120,136.340,95.220,25.167,87.240,89.360,104.140,151.420,65.920,45.430,32.240,153.960,53.280,105.570,45.750,173.670,134.260,155.230,88.110,220.440,104.250,34.070,82.960,199.980,212.610,127.950,190.710,77.530
