Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
63,51770.23315980196639429778,47777.02927382056077476591,0.92286679734172016865,8,8306.T 9984.T 6501.T 8766.T 7733.T AAPL WMT GS 
64,54045.14444870695297140628,48096.37571369104989571497,0.88992963575734829185,8,9984.T 6501.T 8316.T 8766.T AAPL WMT JPM AMGN 
65,54734.69537313343607820570,51148.93376433855883078650,0.93448832437359374836,5,9984.T 8316.T 8766.T AAPL GS 
66,60259.61089459410140989348,51434.19282516186649445444,0.85354339434966441935,7,9984.T 6501.T 8316.T 8766.T AAPL WMT AMGN 
67,62582.81567708036891417578,51638.39540356150973821059,0.82512099918944648014,6,9984.T 8316.T 8766.T AAPL WMT GS 
68,64875.12279404996661469340,53018.58568455133354291320,0.81724062169195532679,4,9984.T 8766.T AAPL WMT 
69,68169.38687999683315865695,54014.51295097132242517546,0.79235732376553003053,6,9984.T 6501.T 8766.T 7733.T AAPL WMT 
70,75394.06956618037656880915,55343.05598658648523269221,0.73405052022038341786,8,9984.T 6501.T 8316.T 8766.T 7733.T AAPL WMT AMGN 
71,78196.36571244575316086411,55521.49427289547020336613,0.71002653086291267481,7,9984.T 6501.T 8316.T 8766.T 7733.T AAPL AMGN 
72,78897.21165827593358699232,55780.97949468084698310122,0.70700824936985839919,6,9984.T 6501.T 8316.T AAPL WMT AMGN 
73,83250.45219892078603152186,56119.98342668823170242831,0.67411025339050034688,5,9984.T 6501.T 8316.T AAPL AMGN 
74,83765.48757607450534123927,58274.73062835334712872282,0.69568902795950593454,5,9984.T 8316.T 8766.T 7733.T AAPL 
75,93488.64951158218900673091,58979.25138529137620935217,0.63087071739104016999,5,9984.T 8766.T 7733.T AAPL WMT 
76,94097.83982603759795892984,59786.80781452357041416690,0.63536854751452109813,5,9984.T 6501.T 7733.T AAPL WMT 
77,95804.47875770603423006833,61115.60545120255119400099,0.63792012903453865214,3,9984.T 8316.T AAPL 
78,103584.04105565688223578036,61182.68506012947909766808,0.59065744526471342102,4,9984.T 6501.T 7733.T AAPL 
79,108804.23762785817962139845,62300.26797178536799037829,0.57259045539081132592,3,9984.T AAPL WMT 
80,111068.90513984698918648064,62658.32521669744164682925,0.56413921734264216301,2,8316.T AAPL 
81,126727.54152642727422062308,64077.28211771504720672965,0.50563027851647079913,5,9984.T 8316.T 7733.T AAPL WMT 
82,138876.66679316456429660320,66538.61212141535361297429,0.47912016941272345116,4,9984.T 8316.T 7733.T AAPL 
83,155770.45381946512497961521,67430.67275670672825071961,0.43288487067552328114,4,9984.T 7733.T AAPL WMT 
84,180068.63428961535100825131,69382.97143177609541453421,0.38531403153857007871,3,8316.T 7733.T AAPL 
85,195549.24081108640530146658,71830.72018963917798828334,0.36732804429055515572,3,9984.T 7733.T AAPL 
86,305833.87593084620311856270,78732.46932238663430325687,0.25743541026236499425,2,7733.T AAPL 
87,377958.16653180337743833661,82868.15957446808170061558,0.21925220014394139478,1,7733.T 

fitness_time:,213709
execution time:,1.38280399999999992211 s
Exp_times:,1
gen:,7000
theta:,0.00029999999999999997
market:,NIKKEI30&DJIA30
